model,essay_id,respondent_id,question_id,sample_row,prompt_category,prompt_question,mean_total,sd_total,min_total,max_total,n_runs,range_total,cv_total,hitl_status
openai/gpt-oss-120b,014ee4680940|50d3d866-6ccd-411d-b837-8e9a9e7d2f2d|8510,014ee4680940,50d3d866-6ccd-411d-b837-8e9a9e7d2f2d,8510,tech_society_opinion,Some people think that for robots are very important to you human future development. other think that they are dangerous and have negative effect on society discuss both view and give your opinion.,31.6,0.547722557505166,31.0,32.0,5,1.0,0.017332992326112847,Auto-Approve
openai/gpt-oss-120b,0196496633f0|a1047a09-89c5-40f4-92a9-398f17962a42|6324,0196496633f0,a1047a09-89c5-40f4-92a9-398f17962a42,6324,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",8.0,0.0,8.0,8.0,5,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,023dd880204c|50d3d866-6ccd-411d-b837-8e9a9e7d2f2d|535,023dd880204c,50d3d866-6ccd-411d-b837-8e9a9e7d2f2d,535,tech_society_opinion,Some people think that for robots are very important to you human future development. other think that they are dangerous and have negative effect on society discuss both view and give your opinion.,30.4,0.5477225575051665,30.0,31.0,5,1.0,0.01801718939161732,Auto-Approve
openai/gpt-oss-120b,0555d4dcd0db|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|5198,0555d4dcd0db,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,5198,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,0a3c8dd08980|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|5562,0a3c8dd08980,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,5562,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,0bcd7a9daa7c|a1047a09-89c5-40f4-92a9-398f17962a42|4873,0bcd7a9daa7c,a1047a09-89c5-40f4-92a9-398f17962a42,4873,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",32.6,2.0736441353327724,30.0,35.0,5,5.0,0.06360871580775375,Flagged for Review
openai/gpt-oss-120b,0d2ec5cbdecb|a1047a09-89c5-40f4-92a9-398f17962a42|2409,0d2ec5cbdecb,a1047a09-89c5-40f4-92a9-398f17962a42,2409,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",30.2,1.7888543819998315,27.0,31.0,5,4.0,0.05923358880794144,Flagged for Review
openai/gpt-oss-120b,0d2ec5cbdecb|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|2410,0d2ec5cbdecb,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,2410,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,111145da894c|a1047a09-89c5-40f4-92a9-398f17962a42|701,111145da894c,a1047a09-89c5-40f4-92a9-398f17962a42,701,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",28.2,1.7888543819998322,25.0,29.0,5,4.0,0.06343455255318554,Flagged for Review
openai/gpt-oss-120b,115428f52f9c|a1047a09-89c5-40f4-92a9-398f17962a42|6537,115428f52f9c,a1047a09-89c5-40f4-92a9-398f17962a42,6537,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",29.4,1.1401754250991378,28.0,31.0,5,3.0,0.03878147704418836,Flagged for Review
openai/gpt-oss-120b,135c39acc134|a1047a09-89c5-40f4-92a9-398f17962a42|5752,135c39acc134,a1047a09-89c5-40f4-92a9-398f17962a42,5752,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",18.2,1.9235384061671346,16.0,21.0,5,5.0,0.10568892341577663,Flagged for Review
